_id,task,label,difficulty,correct_answer,target_image,presented_images[0],presented_images[1],presented_images[2],presented_images[3],group_order,rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,ppt_id,correct,__v,response.age,response.gender,response.english_first,response.response,participant_response,final_response,correct_response,response.ppt_id_manual
686d609cd749baecad1a7945,comprehension,tulip,3,4,images/tulip.jpg,images/rose.jpg,images/glove.jpg,images/hubcap.jpg,images/tulip.jpg,CP,,,,html-button-response,34,2.1.0,220851,P1751998399439,false,0,,,,,,,,
686d609cd749baecad1a794b,comprehension,gutter,3,1,images/gutter.jpg,images/gutter.jpg,images/almond.jpg,images/filter.jpg,images/porthole.jpg,CP,,,,html-button-response,37,2.1.0,220853,P1751998399439,false,0,,,,,,,,
686d609cd749baecad1a794d,comprehension,dumpling,3,4,images/dumpling.jpg,images/meatball.jpg,images/rocket.jpg,images/coyote.jpg,images/dumpling.jpg,CP,,,,html-button-response,38,2.1.0,220854,P1751998399439,false,0,,,,,,,,
686d609cd749baecad1a794f,comprehension,coaster,3,3,images/coaster.jpg,images/hummingbird.jpg,images/card.jpg,images/coaster.jpg,images/painting.jpg,CP,,,,html-button-response,39,2.1.0,220854,P1751998399439,false,0,,,,,,,,
686d609cd749baecad1a7951,comprehension,footbath,3,3,images/footbath.jpg,images/trough.jpg,images/rhinoceros.jpg,images/footbath.jpg,images/vest.jpg,CP,,,,html-button-response,40,2.1.0,220855,P1751998399439,false,0,,,,,,,,
686d609cd749baecad1a7953,comprehension,thermos,3,1,images/thermos.jpg,images/thermos.jpg,images/coral.jpg,images/firewood.jpg,images/oilcan.jpg,CP,,,,html-button-response,41,2.1.0,220856,P1751998399439,false,0,,,,,,,,
686d609cd749baecad1a7947,comprehension,sandbag,3,2,images/sandbag.jpg,images/valve.jpg,images/sandbag.jpg,images/octopus.jpg,images/sandpaper.jpg,CP,,,,html-button-response,35,2.1.0,220851,P1751998399439,false,0,,,,,,,,
686d609cd749baecad1a7949,comprehension,clothespin,3,2,images/clothespin.jpg,images/toothpick.jpg,images/clothespin.jpg,images/fondue.jpg,images/volleyball.jpg,CP,,,,html-button-response,36,2.1.0,220852,P1751998399439,false,0,,,,,,,,
686d609cd749baecad1a7957,comprehension,antenna,3,1,images/antenna.jpg,images/antenna.jpg,images/backgammon.jpg,images/pinecone.jpg,images/stem.jpg,CP,,,,html-button-response,43,2.1.0,220857,P1751998399439,false,0,,,,,,,,
686d609cd749baecad1a7959,comprehension,stump,3,1,images/stump.jpg,images/stump.jpg,images/bookshelf.jpg,images/log.jpg,images/showerhead.jpg,CP,,,,html-button-response,44,2.1.0,220858,P1751998399439,false,0,,,,,,,,
686d609cd749baecad1a795b,comprehension,mandolin,4,3,images/mandolin.jpg,images/mast.jpg,images/gourd.jpg,images/mandolin.jpg,images/seismograph.jpg,CP,,,,html-button-response,45,2.1.0,220860,P1751998399439,false,0,,,,,,,,
686d609cd749baecad1a795d,comprehension,turbine,4,1,images/turbine.jpg,images/turbine.jpg,images/tab.jpg,images/generator.jpg,images/pesto.jpg,CP,,,,html-button-response,46,2.1.0,220862,P1751998399439,false,0,,,,,,,,
686d609cd749baecad1a7955,comprehension,hedgehog,3,4,images/hedgehog.jpg,images/owl.jpg,images/dumbwaiter.jpg,images/iguana.jpg,images/hedgehog.jpg,CP,,,,html-button-response,42,2.1.0,220856,P1751998399439,false,0,,,,,,,,
686d609cd749baecad1a795f,comprehension,tapestry,4,1,images/tapestry.jpg,images/tapestry.jpg,images/backdrop.jpg,images/forklift.jpg,images/leggings.jpg,CP,,,,html-button-response,47,2.1.0,220863,P1751998399439,false,0,,,,,,,,
686d609cd749baecad1a7961,comprehension,sorbet,4,4,images/sorbet.jpg,images/palette.jpg,images/tamale.jpg,images/chive.jpg,images/sorbet.jpg,CP,,,,html-button-response,48,2.1.0,220864,P1751998399439,false,0,,,,,,,,
